[Sun Oct 23 11:31:56.257605 2022] [php:notice] [pid 18940:tid 1868] [client 127.0.0.1:53625] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/index.php/contact/
[Sun Oct 23 11:31:59.528278 2022] [php:notice] [pid 18940:tid 1868] [client 127.0.0.1:53625] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/index.php/contact/
[Sun Oct 23 11:31:59.731398 2022] [php:notice] [pid 18940:tid 1868] [client 127.0.0.1:53625] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/index.php/contact/
[Sun Oct 23 11:31:59.947358 2022] [php:notice] [pid 18940:tid 1868] [client 127.0.0.1:53625] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/index.php/contact/
[Sun Oct 23 11:32:26.252763 2022] [php:notice] [pid 18940:tid 1868] [client 127.0.0.1:53675] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/wp-admin/admin.php?page=wpcf7
[Sun Oct 23 11:32:27.435759 2022] [php:notice] [pid 18940:tid 1868] [client 127.0.0.1:53675] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/wp-admin/admin.php?page=wpcf7
[Sun Oct 23 11:32:27.642760 2022] [php:notice] [pid 18940:tid 1868] [client 127.0.0.1:53675] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/wp-admin/admin.php?page=wpcf7
[Sun Oct 23 11:32:28.395855 2022] [php:notice] [pid 18940:tid 1868] [client 127.0.0.1:53675] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/wp-admin/admin.php?page=wpcf7
[Sun Oct 23 11:32:29.568778 2022] [php:notice] [pid 18940:tid 1868] [client 127.0.0.1:53675] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/wp-admin/admin.php?page=wpcf7
[Sun Oct 23 11:32:29.773155 2022] [php:notice] [pid 18940:tid 1868] [client 127.0.0.1:53675] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/wp-admin/admin.php?page=wpcf7
[Sun Oct 23 11:32:36.399291 2022] [php:notice] [pid 18940:tid 1868] [client 127.0.0.1:53692] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/wp-admin/admin.php?page=flamingo
